Author	Quote
William Bernbach	Advertising is fundamentally persuasion and persuasion happens to be not a science, but an art.
Stephen Leacock	Advertising: the science of arresting the human intelligence long enough to get money from it.
Samuel Taylor Coleridge	Advice is like snow; the softer it falls, the longer it dwells upon, and the deeper it sinks into the mind.
Mary Kay Ash	Aerodynamically, the bumble bee shouldn't be able to fly, but the bumble bee doesn't know it so it goes on flying anyway.
	Affection is a garden, and without it there would not be a verdant spot on the surface of the globe.
Gustave Droz	Affection is catching
V.E. Schwab	After all, if you run far enough, no one can catch you.
	After all, life is really simple; we ourselves create the circumstances that complicate it.
	After several annoying incidents, our school finally implemented thorough security upgrades for their devices
Robert W. Service	Ah! the clock is always slow; It is later than you think.
Bob Dylan	Ah, but I was so much older then Im younger than that now
Suzanne Collins	Aim higher in case you fall short.
John Ruskin	All art is but dirtying the paper delicately.
Ford Taylor	All feedback is relevant, even if it's not true.
	All governments suffer a recurring problem: Power attracts pathological personalities.
Carl Sagan	All inquiries carry with them some element of risk.
Jacqueline Carey	All knowledge is worth having.
Albert Einstein	All of science is nothing more than the refinement of everyday thinking.
Samuel Butler	All progress is based upon a universal innate desire on the part of every organism to live beyond its income.
Buddha	All that we are is the result of what we have thought.
Robert Frost	All the fun's in how you say a thing.
Nikola Tesla	All these observations fascinate us, and fill us with an intense desire to know more about the nature of these phenomena.
Criss Jami	All things remarkable are surprisingly simple; albeit difficult to find.
Mark Twain	All You Need In This Life Is Ignorance And Confidence,And Then Success Is Sure.
Santosh Kalwar	Always be like a water. Float in the times of pain or dance like waves along the wind which touches its surface.
Abraham Lincoln	Always bear in mind that your own resolution to succeed, is more important than any other one thing.
Ralph Waldo Emerson	Always do what you are afraid to do.
Kerri Maniscalco	Always foster and grow that unquenchable curiosity of yours
Margaret Mead	Always remember that you are absolutely unique. Just like everyone else.
Johnnie Dent Jr.	Always take failure as an opinion; never as an option.
Laurence J. Peter	America is a country that doesn't know where it is going but is determined to set a speed record getting there.
James Michener	America is a nation with many flaws, but hopes so vast that only the cowardly would refuse to acknowledge them.
Solange nicole	An apple a day keeps the doctor away. But eating too many, is quite enough-plenty. And you'll have to go see the good doc anyway.
John Tukey.	An approximate answer to the right problem is worth a good deal more than an exact answer to an approximate problem.
	An army without culture is a dull-witted army, and a dull-witted army cannot defeat the enemy.
John O’Hara	An artist is his own fault.
Hervé Le Tellier	An attentive reader will always learn more, and more quickly, from good authors than from life.
Debasish Mridha MD	An attitude of gratitude is the best outfit to wear when looking for success and happiness.
An Arts graduate's view of engineers	An engineer is someone who is good with figures, but doesn't have the personality of an accountant.
Stephen Hawking	An expanding universe does not preclude a creator, but it does place limits on when he might have carried out his job!
H.L. Mencken	An idealist is one who, on noticing that a rose smells better than a cabbage, concludes that it makes a better soup.
Gilbert Keith Chesterton	An inconvenience is only an adventure wrongly considered; an adventure is an inconvenience rightly considered.
Jodi Picoult	And I remembered something else that makes us human: faith, the only weapon in our arsenal to battle doubt.
Steve Jobs	And the only way to do great work is to love what you do.... Don't settle
Jane Austen	And to all this she must yet add something more substantial, in the improvement of her mind by extensive reading.
Galileo Galilei	And, believe me, if I were again beginning my studies, I should follow the advice of Plato and start with mathematics.
Maya Angelou	Any book that helps a child to form a habit of reading, to make reading one of his deep and continuing needs, is good for him.
Rajen Jani	Any work not executed honestly, fails to fulfill its objective.
	Anybody caught selling macrame in public should be dyed a natural color and hung out to dry.
Sarah Dessen	Anyone can hide. Facing up to things, working through them, that's what makes you strong.
John von Neumann	Anyone who attempts to generate random numbers by deterministic means is, of course, living in a state of sin.
Michel Houellebecq	Anything can happen in life, especially nothing.
Besa Kosova	Anything worthy is worth the fight!
Margaret Cousins	Appreciation can change a day, even change a life. Your willingness to put it into words is all that is necessary.
	Appreciation is a wonderful thing. It makes what is excellent in others belong to us as well.
	Arguments are like fire-arms which a man may keep at home but should not carry about with him.
Carl Sandburg	Arithmetic is numbers you squeeze from your head to your hand to your pencil to your paper till you get the answer.
Ivan Fernandez	Art can help us reclaim a sense of wonder in our lives.
Wilson Mizner	Art is science made clear.
Henry Petroski	As engineers, we were going to be in a position to change the world - not just study it.
MASON	As every thread of gold is valuable, so is every minute of time.
Unknown	As I get older and remember all the people I've lost along the way. I think to myself maybe a career as a tour guide wasn't for me.
Nikola Tesla	As I review the events of my past life I realize how subtle are the influences that shape our destinies.
Joan Baez	As long as one keeps searching, the answers come.
	As love without esteem is capricious and volatile; esteem without love is languid and cold.
Mark Twain	As to the Adjective: when in doubt, strike it out.
John F. Kennedy	As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.
Bangambiki Habyarimana	As you fight any war, sometimes the result may be defeat. Learn to be heroic even in your defeats.
Mark Twain	Assertion is not proof
Woody Allen	Astronomers say the universe is finite, which is a comforting thought for those people who can't remember where they leave things.
Queen Elizabeth II	At its heart, engineering is about using science to find creative, practical solutions. It is a noble profession.
Germany Kent	At the end of the day friendship proves itself more through your deeds than words could ever speak.
Robert Asprin	At there blackest wehn thinsg are, two myself I say, 'cheer up, worse things could bee. ' and sure enuf, worse they get.
John Milton	Awake, arise or be for ever fall'n.
Sherry Yard	Baking is both an art and a science.
	Baseball fans love numbers. They love to swirl them around their mouths like Bordeaux wine.
Daisy Gallagher	Be armed with purpose, persistence and intention and the enemy called defeat will choose another to battle.
Lisa Genova	Be creative, be useful, be practical, be generous and finish big
Scott Cook	Be dramatically willing to focus on the customer at all costs, even at the cost of obsoleting your own stuff.
Alan Cohen	Be happy with what you have. Be excited about what you want.
Serbian Proverb	Be humble for you are made of earth. Be noble for you are made of stars.
Ken Poirot	Be humble: have the courage to speak the truth.
Dean F. Wilson	Be idealistic about the future, be realistic about the present, and never forget the lessons of the past.
A.P.J. Abdul Kalam	Be more dedicated to making solid achievements than in running after swift but synthetic happiness.
Roy T. Bennett	Be patient and open-minded in your interactions with others; find the positive attributes that they possess.
Steve Martin	Be so good they can't ignore you.
Meister Eckhart	Be willing to be a beginner every single morning.
Heraclitus	Because it is so unbelievable, the truth often escapes being known.
Steve Martin	Before you criticize a man, walk a mile in his shoes. That way, when you do criticize him, you'll be a mile away and have his shoes.
	Before you've practiced, the theory is useless. After you've practiced, the theory is obvious.
Abhijit Naskar	Being articulate is not the same as being wise. Truth devoid of conscience, is worthless in human existence.
Caitlin Miller	Being brave sometimes means letting someone hold you together when you're falling apart.
Abraham Lincoln	Being elected to Congress, though I am very grateful to our friends, for having done it, has not pleased me as much as I expected.
William Butler Yeats	Being Irish, he had an abiding sense of tragedy, which sustained him through temporary periods of joy.
Timothy Ferriss	Being selective-doing less-is the path of the productive. Focus on the important few and ignore the rest.
John Franks	Being thankful should be an unwritten rule of life because there are several things to be thankful for.
Charles Kettering	Believe and act as if it were impossible to fail.
Roy T. Bennett	Believe in Your Heart. Believe in your heart that you're meant to live a life full of passion, purpose, magic and miracles. 
Sunday Adelaja	Believe that your life is not ordinary and never look down on what you can do to impact a life.
Benjamin Franklin	Beware of little expenses; a small leak will sink a great ship.
Thabiso Daniel Monkoe	Birds don't eat canned worms
George Eliot	Blessed is the man, who having nothing to say, abstains from giving wordy evidence of the fact.
Stephen King	Books are a uniquely portable magic.
Carl Sagan	Books are like seeds. They can lie dormant for centuries and then flower in the most unpromising soil.
Dr T.P.Chia	Books are more than educational - they are the quiet friends, loyal companions, and untiring teachers.
Helen Exley	Books can be dangerous. The best ones should be labeled 'This could change your life'.
Anthony Powell	Books do furnish a room.
	Books have the same enemies as people - fire, humidity, animals, weather, and their own content.
Christopher Moore	Boredom can be a lethal thing on a small island.
J. Robert Oppenheimer	Both the man of science and the man of action live always at the edge of mystery, surrounded by it.
Susan Gable	Breathe in, take what life hands you; hold it, accept it; breathe out, let it go.
Ntathu Allen	Breathing and sitting in silence allows you the space to find your joy and what matters most to you.
Fyodor Dostoevsky	But how could you live and have no story to tell?
Evan Peters	BUT I LOVE HALLOWEEN, AND I LOVE THAT FEELING: THE COLD AIR, THE SPOOKY DANGERS LURKING AROUND THE CORNER.
Francis Darwin	But in science the credit goes to the man who convinces the world, not to the man to whom the idea first occurs.
J.R.R. Tolkien	But in the end it's only a passing thing, this shadow; even darkness must pass.
Ivan Pavlov	But man has still another powerful resource: natural science with its strictly objective methods.
Michael Faraday	But still try for who knows what is possible!
George Weinberg	But the cure for most obstacles is, Be decisive.
Aldous Huxley	But then the course of events takes no account of verisimilitude. Fiction has to be probable; fact does not.
Joseph Butler	But to us, probability is the very guide of life.
James Patterson	But what is life if you don't live it?
Galileo Galilei	By denying scientific principles, one may maintain any paradox.
Israelmore Ayivor	Calamities reveal your capabilities. Take note of this and when times get odd, prepare and shine.
John von Neumann	Can we survive technology?
Shannon Alder	Carve your name on hearts, not tombstones. A legacy is etched into the minds of others and the stories they share about you.
Garrison Keillor	Cats are intended to teach us that not everything in nature has a purpose.
Debasish Mridha MD	Celebrate every day, every moment, every success and every failure. Life is a celebration of love and consciousness.
	Champions aren't made in gyms. Champions are made from something they have deep inside them.
Thomas Le Hoang	Champions know the emotions you want to feel and help you feel them by remaining genuine to a noble intention.
Debasish Mridha MD	Change is inevitable, but choice defines the direction of change. So, define choice to find success and happiness.
Michelle Cook-Hall	Change your perspective and change your life
Mason Cooley	Children pay little attention to their parents' teachings, but reproduce their characters faithfully
P.C. Cast and Kristin Cast	Choose battles that you can win without losing your heart and your soul.
None	Christmas is the joyous time of year when a box could equally contain a puzzle, socks, or computer game.
Euripides	Cleverness is not wisdom.
Robert A. Heinlein	Climate is what you expect, weather is what you get.
Abhijit Naskar	Come out my friend. Come out from the narrow lanes of darkness into the vivacious light of the day.
Rene Descartes	Common sense is the most widely shared commodity in the world, for every man is convinced that he is well supplied with it.
Jack Horner	Comparing science and religion isn't like comparing apples and oranges - it's more like apples and sewing machines.
Hlovate	Complex question can only be solved by patience.
Isaac Asimov	Computers are better than we are at arithmetic, not because computers are so good at it, but because we are so bad at it.
Rajen Jani	Conflicts are expensive.
Rajen Jani	Conflicts have small beginnings.
Dr. Seuss	Congratulations! Today is your day. You're off to Great Places! You're off and away!
H. L. Mencken	Conscience: the inner voice which warns us that someone may be looking.
Bill Bryson	Consider the Lichen. Lichens are just about the hardiest visible organisms on Earth, but the least ambitious.
Myra Yadav	Cooking food is a science but making people hungry is an art
John Quincy Adams	Courage and perseverance have a magical talisman, before which difficulties disappear and obstacles vanish into air.
Red Haircrow	Dance above the surface of the world. Let your thoughts lift you into creativity that is not hampered by opinion.
Dan Brown	Darkness feeds on apathy.
	Dear algebra: stop asking us to find your X: he's not coming back.
Toni Sorenson	Deep breath. Positive thought. Firm resolve. Now go out there and grab that dream with your name already on it.
Evan Esar	Definition of Statistics: The science of producing unreliable facts from reliable figures.
COLTON	Deliberate with caution, but act with decision; and yield with graciousness, or oppose with firmness.
H. L. Mencken	Democracy is the art and science of running the circus from the monkey cage.
Pedro Domingos	Despite all its successes, machine learning is still in the alchemy stage of science.
Unknown	Did you hear about the math teacher who's afraid of negative numbers? He will stop at nothing to avoid them.
Unknown	Did you hear about the tailor who shredded all the neckwear? His company severed all ties.
Johann Wolfgang von Goethe	Difficulties increase the nearer we get to the goal.
	Disciples be damned. It's not interesting. It's only the masters that matter. Those who create.
Thomas Edison	Discontent is the first necessity of progress.
Sujit Lalwani	Discovering While Doing Is Natural...But,Doing Immediately After Discovering Is The Attitude of Winners!
Albert Szent-Gyorgyi	Discovery consists of looking at the same thing as everyone else and thinking something different.
Henry David Thoreau	Distrust any enterprise that requires new clothes.
Patricia Cornwell	Do no harm and leave the world a better place than you found it.
John Burroughs	Do not despise your own place and hour. Every place is under the stars, every place is the center of the world.
Bertrand Russell	Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric.
Sukant Ratnakar	Do not get obsolete like an old technology, keep innovating yourself.
Anthony T.Hincks	Do not give up on yourself. Leave that for the other people.
Jane Austen	Do not give way to useless alarm; though it is right to be prepared for the worst, there is no occasion to look on it as certain.
Catherine Pulsifer	Do not waste your days. Be one of those people who accomplish more in a week than others do in a year!
Albert Einstein	Do not worry about your difficulties in Mathematics. I can assure you mine are still greater.
Agu	Do the things you were sent here to do effectively.
Roald Dahl	Do you know what breakfast cereal is made of? It's made of all those little curly wooden shavings you find in pencil sharpeners!
Unknown	Do you need space? Join NASA!
John Keats	Do you not see how necessary a world of pains and troubles is to school an intelligence and make it a soul?
Todd Perelmuter	Do you think there are smartphones in the afterlife? Because if not, lots of people are going to be very miserable in heaven.
Noam Chomsky	Do you train for passing tests or do you train for creative inquiry?
Lao Tzu	Do your work, then step back. The only path to serenity.
Stephen Richards	Doing the tough things sets winners apart from losers.
Frank Tyger	Doing what you like is freedom. Liking what you do is happiness.
Lorenzo Dozier	Don't act your role, be yourself.
Izey Victoria Odiase	Don't aim for perfection. Aim for 'better than yesterday'.
Karishma Magvani	Don't ask too much for space. They grow into voids.
LeBron James	Don't be afraid of failure. This is the way to succeed.
Joyce Rachelle	Don't be afraid to make mistakes. But if you do, make new ones. Life is too short to make the wrong choice twice.
Jaachynma N.E. Agu	Don't blow off another's candle for it won't make yours shine brighter.
William Faulkner	Don't bother just to be better than your contemporaries or predecessors. Try to be better than yourself.
Anoir Ou-chad	Don't confuse excitement with happiness. The former is feverish and combustible.The latter is serene and long-lasting.
Dr. Seuss	Don't cry because it's over, smile because it happened.
Henry Ford	Don't find fault, find a remedy; anybody can complain
D.L. Lewis	Don't give up when you're disappointed, good things could still happen.
Joel Osteen	Don't go into the new year holding a grudge from last year. Leave the hurts and disappointments behind.
Marcus Aurelius	Don't go on discussing what a good person should be. Just be one.
Urmila Sahu	Don't just listen understand it.
Wesam Fawzi	Don't just wish for success, earn it!
Kelly Martin	Don't let goal setting become heavy weights. Remain flexible and allow room for intuitive changes.
Dr Roopleen	Don't let mental blocks control you. Set yourself free. Confront your fear and turn the mental blocks into building blocks.
Roy T. Bennett	Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs.
Ludwig van Beethoven	Don't only practice your art, but force your way into its secrets, for it and knowledge can raise men to the divine.
Michael Phelps	Don't put a limit on anything. The more you dream the farther you get.
Unknown	Don't spell part backwards. It's a trap.
Evanescence	Don't try to fix me, I'm not broken...
Saif Rehman	Don't wait for success to become stronger and confident. Be strong and confident Success will automatically chase you
Clarissa Pinkola Est's	Don't waste your time hating a failure. Failure is a greater teacher than success. Listen, learn, go on.
Roy T. Bennett	Don't waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.
Shaun David Hutchinson	Dreams are hopeful because they exist as pure possibility. Unlike memories, which are fossils, long dead and buried deep.
Anthony T. Hincks	Dreams will never let you down. Only you can do that.
Maya Angelou	Each person deserves a day away in which no problems are confronted, no solutions searched for.
Jennifer Ritchie Payette	Early scientists were often ridiculed for their theories. Be open to replacing outdated belief systems with new ones.
Mahatma Gandhi	Earth provides enough to satisfy every man's needs, but not every man's greed.
Mark Twain	Eat alive frog first thing in teh mourning and nothing worst will happne to you teh wrest of the day.
Dave Barry	Eating rice cakes is like chewing on a foam coffee cup, only less filling.
Alexander Graham Bell	Educate the masses, elevate their standard of intelligence, and you will certainly have a successful nation.
J. Earp	Education consists primarily in perfecting the art/science of connecting apparently disparate dots.
Daniel M. Greenberger	Einstein said that if quantum mechanics were correct then the world would be crazy. Einstein was right - the world is crazy.
Avina Celeste	Encourage your own greatness.
	Engenuity cap chored arial photographs of teh reked remains of its landign kraft on teh sir face of Mars
Thomas Tredgold	Engineering is the art of directing the great sources of power in nature for the use and convenience of man.
Toba Beta	Enough talk, now read!
Seneca c.4 B.C.-A.D. 65	Eternal law has arranged nothing better than this, that it has given us one way in to life, but many ways out.
Stephen Hawking	Eternity is a long time, especially towards the end.
Old Testament	Even a child is known by his doings.
Mokokoma Mokhonoana	Even a trillion dollars is made up of cents.
Sara Gruen	Even as your body betrays you, your mind denies it.
Hockson Floin	Even during a mid-life crisis do not deviate from your goal. History remembers only those who succeed.
Steven Magee	Even if ninety-nine percent of what you discover is later proven wrong, it is the one percent that is right that matters.
Stanley Victor Paskavich	Even in the fiercest battles the Butterflies and Bee's still kiss the flowers.
Rick Riordan	Even strength must bow to wisdom sometimes.
Nina Dobrev	Even though you're growing up, you should never stop having fun.
Nina Guilbeau	Even when we do not actively participate in our destiny, we are still on a chosen path. Life has a way of making decisions for us.
Hafez	Ever since happiness heard your name, it has been running through the streets trying to find you.
Albert Camus	Every achievement is a servitude. It compels us to a higher achievement.
Abraham Lincoln	Every blade of grass is a study; and to produce two, where there was but one, is both a profit and a pleasure.
Robert Orben	Every day I get up and look through the Forbes list of the richest people in America. If I'm not there, I go to work.
Avina Celeste	Every detour puts you on the right path for your own success.
Aldous Huxley	Every discovery in pure science is potentially subversive.
Philemon	Every gift, though small, is in reality great, if it be given with affection.
Isaac Asimov	Every hour a scientist spends trying to raise funds is an hour lost from important thought and research.
Terry Pratchett	Every intelligent being, whether it breathes or not, coughs nervously at some time in its life.
	Every man has a right to life. That means that he also has a right to make a comfortable living.
Thomas Merton	Every moment and every event of every man's life on earth plants something in his soul.
Walt Whitman	Every moment of light and dark is a miracle.
Tamora Pierce	Every now and then I like to do as I'm told, just to confuse people.
Will Durant	Every science begins as philosophy and ends as art; it arises in hypothesis and flows into achievement.
Ehsan Sehgal	Every success, whether it is the biggest or the smallest, inspires the joy and the beauty of life.
Isaac Asimov	Every thing a bout my crow scopic life is terra plea upsetting. How can things sew small bee sew important?
Steve Backley	Every time a champion makes a decision they have a chance to learn something new, regardless of the outcome.
	Every year it takes less time to fly across the Atlantic and more time to drive to the office.
Dr. Sara Jordan	Everyday, give yourself a good mental shampoo.
	Everyone has his faults which he continually repeats: neither fear nor shame can cure them.
Georg Lichtenberg	Everyone is a genius at least once a year; a real genius has his original ideas closer together.
Isaac Asimov	Everything about microscopic life is terribly upsetting. How can things so small be so important?
Tapan Ghosh	Everything else in life can be confusing but what is clear is the importance of looking after yourself.
Bertrand Russell	Everything is vague to a degree you do not realize till you have tried to make it precise.
James Gleick	Everything we care about lies somewhere in the middle, where pattern and randomness interlace.
FROM THE LATIN	Evil thoughts intrude in an unemployed mind, as naturally as worms are generated in a stagnant pool.
Charles Caleb Colton	Examinations are formidable even to the best prepared, for the greatest fool may ask more than the wisest man can answer.
Les Brown	Except responsibility four you're life. No that it is ewe who will get ewe wear ewe wont two go, know won else.
Stephanie Lahart	Excuse Me While I Succeed!
Eoin Colfer	Excuse me, Captain. Are you two going to weep salty tears of admiration over a helmet all night, or do we have matters to discuss?
Unknown	Experience is what you get when you didn't get what you wanted.
Dr. Dragos	Expressing authentic appreciation doesn't cost you anything and the outcomes are simply wonderful.
Elizabeth Taylor	Eye feal very adventuruos.  Their are sew many doors to be opended, and I'm not afriad to look behidn them.
Kurt Vonnegut	Eye had know talent four science. What was infinitely worse: awl my fraternity brothers whir engineers.
Gurjeet Singh	Eye lived inn fear that other engineers wood stop me inn the street and ask me a math question, and eye wouldn't no the answer.
Unknown	Eye recently heared about a manakin that lost all of his freinds becuse he was so clothes minderd!
David Sedaris	Faced with an exciting question, science tended to provide the dullest possible answer.
Isaac Asimov	Facts are a heap of bricks and timber. It is only a successful theory that can convert the heap into a stately mansion
Dune House Harkonnen.	Facts mean nothing when they are preempted by appearance. Do not underestimate the power of impression over reality.
Brian Howard	Failure has its successes.
Idowu Koyenikan	Failure is constructive feedback that tells you to try a different approach to accomplish what you want.
Truman Capote	Failure is the condiment that gives success its flavor.
Claudia Gray	Faith and mathematics don't only bring you back to the people you love. They can also bring you to the people you hate.
De philosopher DJ Kyos	Fake life is expensive.
Dr. Seuss	Fantasy is a necessary ingredient in living, it's a way of looking at life through the wrong end of a telescope.
Ralph Waldo Emerson	Fear defeats more people than any other one thing in the world.
Bertrand Russell	Fear is the main source of superstition, and one of the main sources of cruelty. To conquer fear is the beginning of wisdom.
Simone Elkeles	Fifty percent of all doctors graduate in the bottom half of their class - Hope your surgery went well!
Miguel de Cervantes Saavedra	Finally, from so little sleeping and so much reading, his brain dried up and he went completely out of his mind.
Amy Poehler	Find a group of people who challenge and inspire you; spend a lot of time with them, and it will change your life.
Criss Jami	Find a purpose to serve, not a lifestyle to live.
Martin Luther King Jr.	Find a voice in a whisper.
Hamzah Hilam	Find as much knowledge as you can. do not forget to share the knowledge that has been obtained to others
Roy T. Bennett	Finding the lesson behind every adversity will be the one important thing that helps get you through it.
Luther Burbank	Flowers always make people better, happier, and more helpful; they are sunshine, food and medicine to the mind.
Roy T. Bennett	Focus on making choices to lead your life that aligns with your core values in the most purposeful way possible.
Anthony T.Hincks	For each answer in life there are ten more questions that need answering.
Robert M. Pirsig	For every fact there is an infinity of hypotheses.
Benjamin Franklin	For every minute spent organizing, an hour is earned.
Irenaeus of Lyons	For it is not needful, to use a common proverb, that one should drink up the ocean who wishes to learn that its water is salt.
Oliver Edwards	For my part now, I consider supper as a turnpike through which one must pass, in order to get to bed.
Unknown	For sale: Watch with half a face. For a limited time only.
Virgil	Fortune assists the bold.
Beth Kempton	Freedom is found within, in the shape of our laughter and the way we love, in the truths that we live by and the stories we become
Epictetus	Freedom is the only worthy goal in life. It is won by disregarding things that lie beyond our control.
Beth Kempton	Freedom is the willingness and ability to choose your own path and experience your life as your true self.
unknown	Freinds come and go, lkie teh wayvs of teh oshun, but teh tru ones stay, lkie an octopous on you're face.
Eleanor Roosevelt	Friendship with oneself is all important, because without it one cannot be friends with anyone else in the world.
Aeschylus	From a small seed a mighty trunk may grow.
Ken Fite	From an early age, our mothers teach us to be thankful.
Groucho Marx	From the moment I picked up your book until I put it down, I was convulsed with laughter. Some day I intend reading it.
TALFOURD	Gentleman is a term which does not apply to any station, but to the mind and the feelings in every station.
Sunday Adelaja	Getting to know who you are is the secret to ensuring that your life will not be dull and unnoticed
Confucius	Give a bowl of rice to a man and you will feed him for a day. Teach him how to grow his own rice and you will save his life.
Pablo Picasso	Give me a museum and I'll fill it.
John Milton	Give me the liberty to know, to utter, and to argue freely according to conscience, above all liberties.
Marquis Pierre Simon de Laplace	Give me the positions and velocities of all the particles in the universe, and I will predict the future.
Demi Lovato	Go ahead and believe that no one shines brighter than you. Become amazing, and be happy.
Zig Ziglar	Go as far as you can see and you will see further.
Mitch Albom	Going back to something is harder than you think.
	Going to church doesn't make you a Christian any more than going to the garage makes you a car.
Donny Ingram	Good advice for anyone wanting to make an impact with a product, a service or even a message is to differentiate yourself.
Irish Prayer	Grant me a sense of humor, Lord, the saving grace to see a joke, to win some happiness from life, and pass it on to other folks.
MELODY BEATTIE	Gratitude makes sense of our past, brings peace for today, and creates a vision for tomorrow.
Michael Hirsch	Gravity always wins
GAMBETTA	Great ability without discretion comes almost invariably to a tragic end.
Napoleon Hill	Great achievement is usually born of great sacrifice, and is never the result of selfishness.
Roy T. Bennett	Great leaders create more leaders, not followers.
Henry Ward Beecher.	Great powers and natural gifts do not bring privileges to their possessor, so much as they bring duties.
